GD1,SL1,SL2,GJ1,Poisson's Ratio,Initial Inner Friction Angle (degree) ,Initial Cohesion (MPa) ,Dilatancy Angle (degree) ,Young's Modulus (GPa) 
-0.378144501,0.156334835,0.359864202,-0.458354765,0.488857143,33.22857143,0.492142857,9.9,19.30357143
-0.640420772,-0.024406942,-0.003618978,-0.608786332,0.420857143,34.25714286,0.350714286,1.928571429,11.05785714
-0.677532053,-0.219049905,-0.372232328,-0.527783477,0.340285714,21.4,0.072142857,7.785714286,11.16928571
-3.753255191,0.094751633,0.200992666,-3.772941166,0.481428571,33.62857143,0.450714286,6.414285714,1.642142857
-0.634260834,-0.224596849,-0.382663076,-0.481650921,0.331142857,29.51428571,0.260714286,9.128571429,12.28357143
-0.853926211,-0.095074492,-0.139995473,-0.777285157,0.403714286,30.25714286,0.096428571,1.471428571,7.993571429
-0.418857627,-0.092120192,-0.135276007,-0.347236072,0.379142857,26.25714286,0.333571429,3.157142857,18.85785714
-0.625596856,-0.140540654,-0.225258164,-0.523476673,0.373428571,32.65714286,0.370714286,9.585714286,11.83785714
-3.092583068,-0.776529497,-1.519981685,-2.546516321,0.339714286,35.11428571,0.273571429,4.985714286,1.140714286
-1.243128151,-0.235187449,-0.409859585,-1.076145456,0.376857143,33.51428571,0.353571429,1.357142857,5.040714286
-0.465086039,0.080326984,0.202227751,-0.498428504,0.457428571,25.74285714,0.303571429,3.642857143,15.45928571
-0.470027075,0.131793879,0.308474819,-0.535932643,0.474571429,25.45714286,0.272142857,9.5,15.29214286
-1.41524126,0.086936052,0.212253035,-1.448830534,0.459142857,29.4,0.049285714,5.7,4.650714286
-0.414076927,-0.086401182,-0.124488902,-0.345887845,0.382,29.11428571,0.460714286,3.128571429,19.025
-0.421217427,0.058676032,0.157806635,-0.440816287,0.450571429,27.62857143,0.215,2.642857143,17.24214286
-0.531740487,0.095545661,0.233998664,-0.575001494,0.460857143,20.6,0.120714286,6.9,13.39785714
-0.875078343,-0.311738568,-0.54469605,-0.66753941,0.318571429,31.51428571,0.257857143,1.1,8.216428571
-1.072069269,-0.10704792,-0.165419527,-0.985693521,0.407714286,31.74285714,0.399285714,5.528571429,6.099285714
-0.58765859,-0.151036106,-0.245113374,-0.479564261,0.364857143,25.22857143,0.446428571,0.928571429,12.89642857
-1.25753804,-0.4308779,-0.768892067,-0.973190643,0.308285714,30.54285714,0.447857143,5.9,4.985
-0.40930305,0.153807251,0.354652725,-0.488494259,0.485428571,39.28571429,0.473571429,2.328571429,17.74357143
-2.186152825,-0.466584428,-0.875064147,-1.859841574,0.359142857,25.0,0.476428571,6.014285714,2.255
-0.467022625,0.136681559,0.31872471,-0.536024032,0.476285714,31.62857143,0.276428571,3.3,15.40357143
-0.464805956,-0.167973041,-0.277809492,-0.34768077,0.337428571,28.6,0.433571429,7.328571429,17.855
-0.621449409,-0.180637107,-0.300548409,-0.49528967,0.353428571,33.85714286,0.393571429,0.9,12.22785714
-0.436743966,-0.137920816,-0.221591687,-0.337741403,0.352857143,24.54285714,0.306428571,6.271428571,18.74642857
-0.463201547,0.039751528,0.120715505,-0.471341205,0.442571429,37.57142857,0.162142857,6.7,15.62642857
-0.571118043,-0.21192154,-0.359301832,-0.426739699,0.328285714,28.94285714,0.259285714,6.528571429,14.06642857
-1.103483794,-0.150170981,-0.247711199,-0.990243645,0.396285714,26.42857143,0.412142857,7.7,5.876428571
-0.858467236,0.012754728,0.068695409,-0.848672897,0.436285714,24.77142857,0.132142857,4.557142857,7.937857143
-0.886399594,-0.116385875,-0.180782769,-0.796392911,0.398,20.48571429,0.002142857,8.671428571,7.659285714
-0.576703613,0.139186886,0.324669496,-0.648096647,0.472857143,22.37142857,0.159285714,0.414285714,12.33928571
-0.418280404,-0.102488721,-0.154930467,-0.340485572,0.372857143,23.05714286,0.180714286,4.957142857,19.08071429
-0.606247577,-0.236506389,-0.405021845,-0.446810739,0.319142857,26.82857143,0.115,6.985714286,13.23071429
-0.60968038,0.236636541,0.53611046,-0.745976406,0.497428571,37.34285714,0.090714286,2.585714286,11.94928571
-2.387245274,-0.649760972,-1.225017986,-1.943707695,0.324857143,28.77142857,0.005,9.614285714,1.809285714
-0.771541736,-0.078966023,-0.108745126,-0.705521962,0.406,23.51428571,0.452142857,3.471428571,8.996428571
-0.620122295,0.233833924,0.529675619,-0.754570851,0.496285714,35.91428571,0.086428571,2.671428571,11.72642857
-0.868424505,-0.3409021,-0.598412955,-0.643557648,0.302571429,38.82857143,0.387857143,2.414285714,8.439285714
-0.484546809,-0.154290447,-0.251906965,-0.375396488,0.35,24.82857143,0.285,1.3,16.62928571
-0.737436786,-0.236955844,-0.405617026,-0.576303018,0.338571429,28.08571429,0.075,8.357142857,10.055
